The initialization template is either None or invalid, the servers and jobs will be generated randomly
Episode 8500, Average_updates: 0.241837, iterations: 4241500,reward: -2415.101294
Episode 8600, Average_updates: 0.242522, iterations: 4291400,reward: -2421.881527
Episode 8700, Average_updates: 0.243692, iterations: 4341300,reward: -2432.306096
Episode 8800, Average_updates: 0.243450, iterations: 4391200,reward: -2431.974744
Episode 8900, Average_updates: 0.243660, iterations: 4441100,reward: -2433.463101
Episode 9000, Average_updates: 0.240538, iterations: 4491000,reward: -2404.911673
Episode 9100, Average_updates: 0.243830, iterations: 4540900,reward: -2433.712549
Episode 9200, Average_updates: 0.242367, iterations: 4590800,reward: -2421.887939
Episode 9300, Average_updates: 0.242577, iterations: 4640700,reward: -2423.185277
Episode 9400, Average_updates: 0.242016, iterations: 4690600,reward: -2416.475653
Episode 9500, Average_updates: 0.240979, iterations: 4740500,reward: -2407.176233
Episode 9600, Average_updates: 0.241857, iterations: 4790400,reward: -2416.937569
Episode 9700, Average_updates: 0.241379, iterations: 4840300,reward: -2412.171683
Episode 9800, Average_updates: 0.243522, iterations: 4890200,reward: -2432.613937
Episode 9900, Average_updates: 0.241984, iterations: 4940100,reward: -2417.119546
Episode 10000, Average_updates: 0.241412, iterations: 4990000,reward: -2410.995370
Episode 10100, Average_updates: 0.244233, iterations: 5039900,reward: -2440.134074
Episode 10200, Average_updates: 0.244134, iterations: 5089800,reward: -2438.624242
Episode 10300, Average_updates: 0.243446, iterations: 5139700,reward: -2430.411106
Episode 10400, Average_updates: 0.242307, iterations: 5189600,reward: -2418.933800
Episode 10500, Average_updates: 0.241938, iterations: 5239500,reward: -2415.775284
Episode 10600, Average_updates: 0.241598, iterations: 5289400,reward: -2412.998555
Episode 10700, Average_updates: 0.243605, iterations: 5339300,reward: -2438.468168
Episode 10800, Average_updates: 0.242875, iterations: 5389200,reward: -2425.587247
Episode 10900, Average_updates: 0.243075, iterations: 5439100,reward: -2426.497356
Episode 11000, Average_updates: 0.242893, iterations: 5489000,reward: -2426.241904
Episode 11100, Average_updates: 0.242431, iterations: 5538900,reward: -2419.547826
Episode 11200, Average_updates: 0.244046, iterations: 5588800,reward: -2438.312419
Episode 11300, Average_updates: 0.243919, iterations: 5638700,reward: -2435.249083
Episode 11400, Average_updates: 0.243023, iterations: 5688600,reward: -2427.392527
Episode 11500, Average_updates: 0.243227, iterations: 5738500,reward: -2428.630290
Episode 11600, Average_updates: 0.243112, iterations: 5788400,reward: -2427.789953
Episode 11700, Average_updates: 0.243363, iterations: 5838300,reward: -2429.673950
Episode 11800, Average_updates: 0.242404, iterations: 5888200,reward: -2421.635891
Episode 11900, Average_updates: 0.242111, iterations: 5938100,reward: -2419.617572
Episode 12000, Average_updates: 0.243491, iterations: 5988000,reward: -2432.739001
Episode 12100, Average_updates: 0.242253, iterations: 6037900,reward: -2420.796586
Episode 12200, Average_updates: 0.243346, iterations: 6087800,reward: -2430.748456
Episode 12300, Average_updates: 0.243587, iterations: 6137700,reward: -2432.554208
Episode 12400, Average_updates: 0.241155, iterations: 6187600,reward: -2410.789413
Episode 12500, Average_updates: 0.242249, iterations: 6237500,reward: -2419.766000
Episode 12600, Average_updates: 0.243966, iterations: 6287400,reward: -2437.303255
Episode 12700, Average_updates: 0.243342, iterations: 6337300,reward: -2429.589973
